BOROUGH,Cultural Venue Type,additional_contact_name,address1,address2,address3,alternativenames,borough_code,borough_name,building_name,contact_name,easting,fid_london_ward,greenflagcommunityaward,gss_code,latitude,longitude,northing,os_addressbase_uprn,rm_organisation_name,runtime,site_name,ward,ward_2018_code,ward_2018_name,ward_code,ward_code_2018,ward_name_2018,website
Camden,Archives,,Special Collections Reading Room Senate House Library Senate House (South Block) Malet Street,,,,E09000007,Camden,,,529926.9646748579,,,E09000007,51.520643622744345,-0.1286980244626283,181850.92339879804,5016035,,04/20/2020,London University: Institute of Modern Languages Research,,E05000129,Bloomsbury,,,,https://modernlanguages.sas.ac.uk/
Camden,Archives,,Senate House Malet Street,,,,E09000007,Camden,,,529926.9646748579,,,E09000007,51.520643622744345,-0.1286980244626283,181850.92339879804,5016035,,04/20/2020,London University: Institute of Classical Studies,,E05000129,Bloomsbury,,,,https://ics.sas.ac.uk/
Camden,Archives,,Special Collections Reading Room Senate House Library South Block Senate House Malet Street,,,,E09000007,Camden,,,529926.9646748579,,,E09000007,51.520643622744345,-0.1286980244626283,181850.92339879804,5016035,,04/20/2020,London University: Institute of Commonwealth Studies,,E05000129,Bloomsbury,,,,https://commonwealth.sas.ac.uk/
Camden,Archives,,Montagu Centre ,21 Maple Street,,,E09000007,Camden,,,529298.9648453868,,,E09000007,51.52243217708953,-0.13767739310497276,182033.923350144,5016796,,04/20/2020,Liberal Judaism archives,,E05000129,Bloomsbury,,,,https://www.liberaljudaism.org/resources/lj-historical-archive/
Camden,Archives,,Lucy Gura Archive ,3 Doughty Mews,,,E09000007,Camden,,,530734.9644566869,,,E09000007,51.523153428542194,-0.11694744860391228,182150.92331643862,5020719,,04/20/2020,Egypt Exploration Society,,E05000138,Holborn and Covent Garden,,,,https://www.ees.ac.uk/
Camden,Archives,,Swedenborg House ,20 Bloomsbury Way,,,E09000007,Camden,,,530348.9645599873,,,E09000007,51.517922345006774,-0.12272701083726285,181558.92347675835,5024660,,04/20/2020,General Conference of the New Church,,E05000138,Holborn and Covent Garden,,,,NA
Camden,Archives,,Swedenborg House ,20-21 Bloomsbury Way,,,E09000007,Camden,,,530348.9645599873,,,E09000007,51.517922345006774,-0.12272701083726285,181558.92347675835,5024660,,04/20/2020,Swedenborg Society,,E05000138,Holborn and Covent Garden,,,,http://www.swedenborg.org.uk/home
Camden,Archives,,96 Euston Road,,,,E09000007,Camden,,,530018.9646522069,,,E09000007,51.529986770365106,-0.1269883564324114,182892.92311582062,5037737,,04/20/2020,"British Library, Music Collections",,E05000143,St. Pancras and Somers Town,,,,https://www.bl.uk/subjects/music
Camden,Archives,,British Library ,96 Euston Road,,,E09000007,Camden,,,530018.9646522069,,,E09000007,51.529986770365106,-0.1269883564324114,182892.92311582062,5037737,,04/20/2020,British Library Corporate Archives,,E05000143,St. Pancras and Somers Town,,,,http://searcharchives.bl.uk/primo_library/libweb/action/search.do?dscnt=1&dstmp=1542715917978&vid=IAMS_VU2&fromLogin=true
Camden,Archives,,96 Euston Road,,,,E09000007,Camden,,,530018.9646522069,,,E09000007,51.529986770365106,-0.1269883564324114,182892.92311582062,5037737,,04/20/2020,British Library: Asian and African Studies,,E05000143,St. Pancras and Somers Town,,,,https://www.bl.uk/visit/reading-rooms/asian-and-african-studies-reading-room
